Compression rate: 7.074071

Codebook: 
Centroid 1	 Index: 1		Value: 32.89547413793103
Point 556 	 Cluster index: 14		Value: 14.5
Point 557 	 Cluster index: 14		Value: 14.45
Point 558 	 Cluster index: 14		Value: 14.6
Point 559 	 Cluster index: 14		Value: 15.0
Point 560 	 Cluster index: 14		Value: 14.7
Point 561 	 Cluster index: 14		Value: 14.7
Point 562 	 Cluster index: 15		Value: 13.0
Point 563 	 Cluster index: 15		Value: 13.1
Point 564 	 Cluster index: 15		Value: 13.05
Point 565 	 Cluster index: 15		Value: 13.15
Point 566 	 Cluster index: 15		Value: 13.1
Point 567 	 Cluster index: 15		Value: 13.2
Point 568 	 Cluster index: 15		Value: 13.05
Point 569 	 Cluster index: 15		Value: 13.05
Point 570 	 Cluster index: 15		Value: 13.1
Point 571 	 Cluster index: 16		Value: 12.95
Point 572 	 Cluster index: 16		Value: 12.9
Point 573 	 Cluster index: 16		Value: 12.85
Point 574 	 Cluster index: 16		Value: 12.85
Point 575 	 Cluster index: 16		Value: 12.9
Point 576 	 Cluster index: 16		Value: 12.95
Point 577 	 Cluster index: 17		Value: 11.35
Point 578 	 Cluster index: 17		Value: 11.15
Point 579 	 Cluster index: 17		Value: 11.25
Point 580 	 Cluster index: 17		Value: 11.1
Point 581 	 Cluster index: 17		Value: 11.05
Point 582 	 Cluster index: 17		Value: 11.35
Point 583 	 Cluster index: 17		Value: 11.15
Point 584 	 Cluster index: 17		Value: 11.3
Point 585 	 Cluster index: 17		Value: 11.0
Point 586 	 Cluster index: 17		Value: 11.4
Point 587 	 Cluster index: 17		Value: 11.4
Point 588 	 Cluster index: 17		Value: 11.05
Point 589 	 Cluster index: 17		Value: 11.55
Point 590 	 Cluster index: 17		Value: 11.05
Point 591 	 Cluster index: 17		Value: 11.1
Point 592 	 Cluster index: 17		Value: 11.3
Point 593 	 Cluster index: 17		Value: 11.5
Point 594 	 Cluster index: 17		Value: 11.35
Point 595 	 Cluster index: 17		Value: 11.55
Point 596 	 Cluster index: 17		Value: 11.35
Point 597 	 Cluster index: 17		Value: 11.5
Point 598 	 Cluster index: 17		Value: 11.35
Point 599 	 Cluster index: 18		Value: 10.75
Point 600 	 Cluster index: 18		Value: 10.5
Point 601 	 Cluster index: 18		Value: 10.25
Point 602 	 Cluster index: 18		Value: 10.75
Point 603 	 Cluster index: 18		Value: 10.55
Point 604 	 Cluster index: 18		Value: 10.55
Point 605 	 Cluster index: 18		Value: 10.55
Point 606 	 Cluster index: 18		Value: 10.4
Point 607 	 Cluster index: 18		Value: 10.55
Point 608 	 Cluster index: 18		Value: 10.9
Point 609 	 Cluster index: 18		Value: 10.85
Point 610 	 Cluster index: 18		Value: 10.85
Point 611 	 Cluster index: 18		Value: 10.7
Point 612 	 Cluster index: 18		Value: 10.35
Point 613 	 Cluster index: 18		Value: 10.6
Point 614 	 Cluster index: 18		Value: 10.15
Point 615 	 Cluster index: 18		Value: 10.4
Point 616 	 Cluster index: 18		Value: 10.9
Point 617 	 Cluster index: 18		Value: 10.35
Point 618 	 Cluster index: 18		Value: 10.8
Point 619 	 Cluster index: 18		Value: 10.6
Point 620 	 Cluster index: 19		Value: 8.55
Point 621 	 Cluster index: 19		Value: 8.5
Point 622 	 Cluster index: 19		Value: 8.05
Point 623 	 Cluster index: 19		Value: 8.55
Point 624 	 Cluster index: 19		Value: 9.0
Point 625 	 Cluster index: 19		Value: 8.6
Point 626 	 Cluster index: 19		Value: 8.45
Point 627 	 Cluster index: 19		Value: 8.85
Point 628 	 Cluster index: 19		Value: 8.35
Point 629 	 Cluster index: 19		Value: 8.2
Point 630 	 Cluster index: 19		Value: 8.3
Point 631 	 Cluster index: 19		Value: 8.3
Point 632 	 Cluster index: 19		Value: 8.75
Point 633 	 Cluster index: 19		Value: 9.05
Point 634 	 Cluster index: 19		Value: 8.9
Point 635 	 Cluster index: 19		Value: 8.45
Point 636 	 Cluster index: 19		Value: 8.6
Point 637 	 Cluster index: 19		Value: 8.65
Point 638 	 Cluster index: 19		Value: 8.65
Point 639 	 Cluster index: 19		Value: 8.65
Point 640 	 Cluster index: 19		Value: 8.95
Point 641 	 Cluster index: 19		Value: 8.95
Point 642 	 Cluster index: 19		Value: 8.85
Point 643 	 Cluster index: 19		Value: 9.0
Point 644 	 Cluster index: 19		Value: 8.05
Point 645 	 Cluster index: 19		Value: 8.55
Point 646 	 Cluster index: 19		Value: 8.1
Point 647 	 Cluster index: 19		Value: 8.8
Point 648 	 Cluster index: 19		Value: 8.3
Point 649 	 Cluster index: 19		Value: 9.0
Point 650 	 Cluster index: 19		Value: 8.05
Point 651 	 Cluster index: 19		Value: 8.5
Point 652 	 Cluster index: 19		Value: 8.1
Point 653 	 Cluster index: 19		Value: 8.15
Point 654 	 Cluster index: 20		Value: 9.65
Point 655 	 Cluster index: 20		Value: 10.05
Point 656 	 Cluster index: 20		Value: 9.35
Point 657 	 Cluster index: 20		Value: 9.3
Point 658 	 Cluster index: 20		Value: 9.2
Point 659 	 Cluster index: 20		Value: 9.4
Point 660 	 Cluster index: 20		Value: 9.65
Point 661 	 Cluster index: 20		Value: 9.45
Point 662 	 Cluster index: 20		Value: 9.2
Point 663 	 Cluster index: 20		Value: 9.35
Point 664 	 Cluster index: 20		Value: 10.05
Point 665 	 Cluster index: 20		Value: 9.95
Point 666 	 Cluster index: 20		Value: 9.65
Point 667 	 Cluster index: 20		Value: 9.6
Point 668 	 Cluster index: 20		Value: 9.85
Point 669 	 Cluster index: 20		Value: 9.35
Point 670 	 Cluster index: 20		Value: 9.25
Point 671 	 Cluster index: 20		Value: 9.95
Point 672 	 Cluster index: 20		Value: 9.9
Point 673 	 Cluster index: 20		Value: 9.7
Point 674 	 Cluster index: 20		Value: 9.35
Point 675 	 Cluster index: 20		Value: 10.1
Point 676 	 Cluster index: 20		Value: 10.1
Point 677 	 Cluster index: 21		Value: 7.5
Point 678 	 Cluster index: 21		Value: 7.85
Point 679 	 Cluster index: 21		Value: 7.3
Point 680 	 Cluster index: 21		Value: 6.8
Point 681 	 Cluster index: 21		Value: 7.0
Point 682 	 Cluster index: 21		Value: 7.55
Point 683 	 Cluster index: 21		Value: 7.35
Point 684 	 Cluster index: 21		Value: 7.4
Point 685 	 Cluster index: 21		Value: 7.4
Point 686 	 Cluster index: 21		Value: 7.55
Point 687 	 Cluster index: 21		Value: 6.85
Point 688 	 Cluster index: 21		Value: 7.65
Point 689 	 Cluster index: 21		Value: 6.95
Point 690 	 Cluster index: 21		Value: 7.45
Point 691 	 Cluster index: 21		Value: 7.4
Point 692 	 Cluster index: 21		Value: 7.75
Point 693 	 Cluster index: 21		Value: 7.65
Point 694 	 Cluster index: 21		Value: 6.95
Point 695 	 Cluster index: 21		Value: 7.0
Point 696 	 Cluster index: 21		Value: 7.15
Point 697 	 Cluster index: 21		Value: 7.35
Point 698 	 Cluster index: 21		Value: 7.8
Point 699 	 Cluster index: 21		Value: 7.7
Point 700 	 Cluster index: 21		Value: 6.8
Point 701 	 Cluster index: 21		Value: 7.0
Point 702 	 Cluster index: 21		Value: 7.05
Point 703 	 Cluster index: 21		Value: 7.9
Point 704 	 Cluster index: 21		Value: 7.85
Point 705 	 Cluster index: 21		Value: 7.1
Point 706 	 Cluster index: 21		Value: 6.9
Point 707 	 Cluster index: 21		Value: 6.85
Point 708 	 Cluster index: 21		Value: 7.05
Point 709 	 Cluster index: 21		Value: 7.35
Point 710 	 Cluster index: 21		Value: 7.65
Point 711 	 Cluster index: 21		Value: 7.65
Point 712 	 Cluster index: 21		Value: 7.2
Point 713 	 Cluster index: 21		Value: 7.2
Point 714 	 Cluster index: 21		Value: 7.1
Point 715 	 Cluster index: 21		Value: 7.85
Point 716 	 Cluster index: 21		Value: 7.6
Point 717 	 Cluster index: 21		Value: 7.25
Point 718 	 Cluster index: 21		Value: 7.8
Point 719 	 Cluster index: 22		Value: 6.6
Point 720 	 Cluster index: 22		Value: 6.1
Point 721 	 Cluster index: 22		Value: 5.8
Point 722 	 Cluster index: 22		Value: 5.65
Point 723 	 Cluster index: 22		Value: 6.4
Point 724 	 Cluster index: 22		Value: 6.4
Point 725 	 Cluster index: 22		Value: 6.55
Point 726 	 Cluster index: 22		Value: 5.85
Point 727 	 Cluster index: 22		Value: 5.9
Point 728 	 Cluster index: 22		Value: 6.1
Point 729 	 Cluster index: 22		Value: 5.6
Point 730 	 Cluster index: 22		Value: 5.8
Point 731 	 Cluster index: 22		Value: 6.4
Point 732 	 Cluster index: 22		Value: 6.55
Point 733 	 Cluster index: 22		Value: 6.6
Point 734 	 Cluster index: 22		Value: 6.05
Point 735 	 Cluster index: 22		Value: 5.8
Point 736 	 Cluster index: 22		Value: 6.3
Point 737 	 Cluster index: 22		Value: 6.6
Point 738 	 Cluster index: 22		Value: 6.2
Point 739 	 Cluster index: 22		Value: 5.7
Point 740 	 Cluster index: 22		Value: 5.85
Point 741 	 Cluster index: 22		Value: 6.1
Point 742 	 Cluster index: 22		Value: 6.4
Point 743 	 Cluster index: 22		Value: 5.9
Point 744 	 Cluster index: 22		Value: 6.4
Point 745 	 Cluster index: 22		Value: 6.35
Point 746 	 Cluster index: 22		Value: 6.75
Point 747 	 Cluster index: 22		Value: 5.9
Point 748 	 Cluster index: 22		Value: 5.7
Point 749 	 Cluster index: 22		Value: 6.2
Point 750 	 Cluster index: 22		Value: 6.2
Point 751 	 Cluster index: 22		Value: 6.75
Point 752 	 Cluster index: 22		Value: 6.75
Point 753 	 Cluster index: 22		Value: 6.65
Point 754 	 Cluster index: 22		Value: 5.8
Point 755 	 Cluster index: 22		Value: 5.7
Point 756 	 Cluster index: 22		Value: 6.7
Point 757 	 Cluster index: 22		Value: 6.55
Point 758 	 Cluster index: 22		Value: 6.2
Point 759 	 Cluster index: 23		Value: 5.3
Point 760 	 Cluster index: 23		Value: 5.4
Point 761 	 Cluster index: 23		Value: 5.35
Point 762 	 Cluster index: 23		Value: 4.8
Point 763 	 Cluster index: 23		Value: 4.2
Point 764 	 Cluster index: 23		Value: 5.45
Point 765 	 Cluster index: 23		Value: 4.3
Point 766 	 Cluster index: 23		Value: 4.0
Point 767 	 Cluster index: 23		Value: 3.35
Point 768 	 Cluster index: 23		Value: 4.85
Point 769 	 Cluster index: 23		Value: 4.3
Point 770 	 Cluster index: 23		Value: 5.5
Point 771 	 Cluster index: 23		Value: 4.7
Point 772 	 Cluster index: 23		Value: 3.8
Point 773 	 Cluster index: 23		Value: 4.65
Point 774 	 Cluster index: 23		Value: 4.15
Point 775 	 Cluster index: 23		Value: 5.3
Point 776 	 Cluster index: 23		Value: 5.4
Point 777 	 Cluster index: 23		Value: 5.35
Point 778 	 Cluster index: 23		Value: 5.4
Point 779 	 Cluster index: 23		Value: 5.2
Point 780 	 Cluster index: 23		Value: 5.15
Point 781 	 Cluster index: 23		Value: 5.2
Point 782 	 Cluster index: 23		Value: 5.4
Point 783 	 Cluster index: 23		Value: 4.85
Point 784 	 Cluster index: 23		Value: 4.85
Point 785 	 Cluster index: 23		Value: 5.15
Point 786 	 Cluster index: 23		Value: 4.95
Point 787 	 Cluster index: 23		Value: 5.1
Point 788 	 Cluster index: 23		Value: 5.45
